1. Outcomes	2. Complexity	3. Multisystem	4. Gold standard	5. Underdiagnosed	6. Accessible test	n_diseases	pct	n_criteria_met	criteria_met
True	True	True	False	False	True	2015	65.44	4	1. Outcomes + 2. Complexity + 3. Multisystem + 6. Accessible test
True	True	True	True	False	True	453	14.71	5	1. Outcomes + 2. Complexity + 3. Multisystem + 4. Gold standard + 6. Accessible test
True	True	False	False	False	True	191	6.2	3	1. Outcomes + 2. Complexity + 6. Accessible test
True	True	True	True	True	True	79	2.57	6	1. Outcomes + 2. Complexity + 3. Multisystem + 4. Gold standard + 5. Underdiagnosed + 6. Accessible test
True	False	True	False	False	True	70	2.27	3	1. Outcomes + 3. Multisystem + 6. Accessible test
True	False	False	False	False	True	47	1.53	2	1. Outcomes + 6. Accessible test
True	True	True	False	True	True	40	1.3	5	1. Outcomes + 2. Complexity + 3. Multisystem + 5. Underdiagnosed + 6. Accessible test
True	True	True	False	False	False	32	1.04	3	1. Outcomes + 2. Complexity + 3. Multisystem
True	True	True	True	False	False	27	0.88	4	1. Outcomes + 2. Complexity + 3. Multisystem + 4. Gold standard
False	True	True	False	False	True	21	0.68	3	2. Complexity + 3. Multisystem + 6. Accessible test
True	False	True	False	False	False	20	0.65	2	1. Outcomes + 3. Multisystem
True	True	False	True	False	True	17	0.55	4	1. Outcomes + 2. Complexity + 4. Gold standard + 6. Accessible test
True	False	True	True	False	True	12	0.39	4	1. Outcomes + 3. Multisystem + 4. Gold standard + 6. Accessible test
True	True	False	False	True	True	11	0.36	4	1. Outcomes + 2. Complexity + 5. Underdiagnosed + 6. Accessible test
True	False	True	True	False	False	10	0.32	3	1. Outcomes + 3. Multisystem + 4. Gold standard
True	True	False	True	True	True	6	0.19	5	1. Outcomes + 2. Complexity + 4. Gold standard + 5. Underdiagnosed + 6. Accessible test
True	False	False	True	False	True	5	0.16	3	1. Outcomes + 4. Gold standard + 6. Accessible test
True	False	True	True	True	True	5	0.16	5	1. Outcomes + 3. Multisystem + 4. Gold standard + 5. Underdiagnosed + 6. Accessible test
False	True	True	True	False	True	3	0.1	4	2. Complexity + 3. Multisystem + 4. Gold standard + 6. Accessible test
True	True	True	True	True	False	3	0.1	5	1. Outcomes + 2. Complexity + 3. Multisystem + 4. Gold standard + 5. Underdiagnosed
True	False	False	True	True	True	2	0.06	4	1. Outcomes + 4. Gold standard + 5. Underdiagnosed + 6. Accessible test
True	True	True	False	True	False	2	0.06	4	1. Outcomes + 2. Complexity + 3. Multisystem + 5. Underdiagnosed
True	False	True	True	True	False	2	0.06	4	1. Outcomes + 3. Multisystem + 4. Gold standard + 5. Underdiagnosed
True	False	True	False	True	True	2	0.06	4	1. Outcomes + 3. Multisystem + 5. Underdiagnosed + 6. Accessible test
True	True	False	True	False	False	1	0.03	3	1. Outcomes + 2. Complexity + 4. Gold standard
True	False	True	False	True	False	1	0.03	3	1. Outcomes + 3. Multisystem + 5. Underdiagnosed
True	False	False	False	True	True	1	0.03	3	1. Outcomes + 5. Underdiagnosed + 6. Accessible test
True	False	False	False	False	False	1	0.03	1	1. Outcomes
