row_id	mondo_id	mondo_label	icd10cm_code	icd10cm_label	n_billable_leaves	billable_leaves	mondo_asserts	proposed_tier	prior_position	fill_tier	fill_proxy_basis	fill_reassign_to_mondo_id	fill_comment	fill_cohort_size	fill_cohort_size_source	fill_confidence
VS-001	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.0	Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]	1	G12.0		exact	bpow 2026-09-21: needs split to G12.0 + G12.1. G12.0 is 'classic' SMA.							
VS-002	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.1	Other inherited spinal muscular atrophy	1	G12.1		narrower	bpow 2026-09-21: G12.1 includes other forms of SMA that are in the non-leaf MONDO:0001516.							
VS-003	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.8	Other spinal muscular atrophies and related syndromes	1	G12.8		proxy	bpow 2026-09-21: G12.8 is problematic as an 'other'.							
VS-004	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.9	Spinal muscular atrophy, unspecified	1	G12.9		proxy	bpow 2026-09-21: 'unspecified' could include some cases that match MONDO:0001516, but others that don't.							
VS-005	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.20	Motor neuron disease, unspecified	1	G12.20			bpow 2026-09-21: G12.2 sub-codes probably all belong somewhere else. Not individually ruled.							
VS-006	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.24	Familial motor neuron disease	1	G12.24			bpow 2026-09-21: G12.2 sub-codes probably all belong somewhere else. Not individually ruled.							
VS-007	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.25	Progressive spinal muscle atrophy	1	G12.25			bpow 2026-09-21: 'I'm really not sure what to do with G12.25. Although it has a similar name, I think that is usually used to represent a variant of ALS, not the group of genetic conditions that I think MONDO:0001516 is intended to represent.'							
VS-008	MONDO:0001516	spinal muscular atrophy	ICD10CM:G12.29	Other motor neuron disease	1	G12.29			bpow 2026-09-21: G12.2 sub-codes probably all belong somewhere else. Not individually ruled.							
VS-009	MONDO:0004976	amyotrophic lateral sclerosis	ICD10CM:G12.21	Amyotrophic lateral sclerosis	1	G12.21	skos:exactMatch	exact	bpow 2026-09-21: 'G12.21 maps to MONDO:0004976.' Mondo already asserts this exactMatch.							
VS-010	MONDO:0008890	progressive bulbar palsy	ICD10CM:G12.22	Progressive bulbar palsy	1	G12.22	skos:exactMatch	exact	bpow 2026-09-21: 'G12.22 maps to MONDO:0008890.'							
VS-011	MONDO:0018155	lateral sclerosis	ICD10CM:G12.23	Primary lateral sclerosis	1	G12.23	skos:exactMatch	exact	bpow 2026-09-21: 'G12.23 maps to MONDO:0018155.'							
