row_id	mondo_id	mondo_label	icd10cm_code	icd10cm_label	n_billable_leaves	billable_leaves	mondo_asserts	proposed_tier	prior_position	fill_tier	fill_proxy_basis	fill_reassign_to_mondo_id	fill_comment	fill_cohort_size	fill_cohort_size_source	fill_confidence
VS-012	MONDO:0002457	Treacher-Collins syndrome	ICD10CM:Q75.4	Mandibulofacial dysostosis	1	Q75.4		excluded	bpow 2026-09-21: 'NO (use mandibulofacial dysostosis below)'. Q75.4 is the dysostosis group, TCS is a subtype.							
VS-013	MONDO:0007838	Jacobsen syndrome	ICD10CM:Q93.59	Other deletions of part of a chromosome	1	Q93.59		excluded	bpow 2026-09-21: 'NO (not specific enough)'. 'That ICD is a grab-bag of so many different potential chromosomal deletions that I don't think we can make any sense of the code by itself.'							
VS-014	MONDO:0008006	Moebius syndrome	ICD10CM:Q87.0	Congenital malformation syndromes predominantly affecting facial appearance	1	Q87.0		excluded	bpow 2026-09-21: 'NO (not specific enough)'.							
VS-015	MONDO:0019188	Rubinstein-Taybi syndrome	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	1	Q87.2		excluded	bpow 2026-09-21: 'NO (not specific enough)'.							
VS-016	MONDO:0018068	trisomy 13	ICD10CM:Q91.4	Trisomy 13, nonmosaicism (meiotic nondisjunction)	1	Q91.4		narrower	bpow 2026-09-21: 'YES' for the Q91.4-Q91.7 range as a whole.							
VS-017	MONDO:0018068	trisomy 13	ICD10CM:Q91.5	Trisomy 13, mosaicism (mitotic nondisjunction)	1	Q91.5		narrower	bpow 2026-09-21: 'YES' for the Q91.4-Q91.7 range as a whole.							
VS-018	MONDO:0018068	trisomy 13	ICD10CM:Q91.6	Trisomy 13, translocation	1	Q91.6		narrower	bpow 2026-09-21: 'YES' for the Q91.4-Q91.7 range as a whole.							
VS-019	MONDO:0018068	trisomy 13	ICD10CM:Q91.7	Trisomy 13, unspecified	1	Q91.7		narrower	bpow 2026-09-21: 'YES' for the Q91.4-Q91.7 range as a whole.							
VS-020	MONDO:0018071	trisomy 18	ICD10CM:Q91.0	Trisomy 18, nonmosaicism (meiotic nondisjunction)	1	Q91.0		narrower	bpow 2026-09-21: 'YES' for the Q91.0-Q91.3 range as a whole.							
VS-021	MONDO:0018071	trisomy 18	ICD10CM:Q91.1	Trisomy 18, mosaicism (mitotic nondisjunction)	1	Q91.1		narrower	bpow 2026-09-21: 'YES' for the Q91.0-Q91.3 range as a whole.							
VS-022	MONDO:0018071	trisomy 18	ICD10CM:Q91.2	Trisomy 18, translocation	1	Q91.2		narrower	bpow 2026-09-21: 'YES' for the Q91.0-Q91.3 range as a whole.							
VS-023	MONDO:0018071	trisomy 18	ICD10CM:Q91.3	Trisomy 18, unspecified	1	Q91.3		narrower	bpow 2026-09-21: 'YES' for the Q91.0-Q91.3 range as a whole.							
VS-024	MONDO:0018923	22q11.2 deletion syndrome	ICD10CM:D82.1	Di George's syndrome	1	D82.1		narrower	bpow 2026-09-21: 'YES' for D82.1 + Q93.81.							
VS-025	MONDO:0018923	22q11.2 deletion syndrome	ICD10CM:Q93.81	Velo-cardio-facial syndrome	1	Q93.81		narrower	bpow 2026-09-21: 'YES' for D82.1 + Q93.81.							
VS-026	MONDO:0019118	inherited retinal dystrophy	ICD10CM:H35.5		5	H35.50;H35.51;H35.52;H35.53;H35.54	skos:exactMatch	exact	bpow 2026-09-21: 'YES'. Mondo already asserts this exactMatch.							
VS-027	MONDO:0015483	mandibulofacial dysostosis	ICD10CM:Q75.4	Mandibulofacial dysostosis	1	Q75.4	skos:exactMatch	exact	bpow 2026-09-21: 'YES'. Mondo already asserts this exactMatch.							
VS-028	MONDO:0016669	sickle cell-hemoglobin c disease syndrome	ICD10CM:D57.2		7	D57.20;D57.211;D57.212;D57.213;D57.214;D57.218;D57.219		exact	bpow 2026-09-21: 'YES'. D57.2 is Hb-SC disease, not sickle cell disease; currently misplaced on MONDO:0011382, see mappings/retractions.tsv.							
VS-029	MONDO:0016668	sickle cell-beta-thalassemia disease syndrome	ICD10CM:D57.4		21	D57.40;D57.411;D57.412;D57.413;D57.414;D57.418;D57.419;D57.42;D57.431;D57.432;D57.433;D57.434;D57.438;D57.439;D57.44;D57.451;D57.452;D57.453;D57.454;D57.458;D57.459		exact	bpow 2026-09-21: 'YES'. D57.4 is sickle-cell thalassemia specifically.							
VS-030	MONDO:0019259	classic phenylketonuria	ICD10CM:E70.0	Classical phenylketonuria	1	E70.0		exact	bpow 2026-09-21: 'YES'. E70.0 is 'Classical phenylketonuria'; MONDO:0009861 is the PKU group.							
VS-031	MONDO:0021061	neurofibromatosis	ICD10CM:Q85.0		5	Q85.00;Q85.01;Q85.02;Q85.03;Q85.09	skos:exactMatch		bpow 2026-09-21: 'NO (split as below)'. Mondo asserts exactMatch on this pair, so a NO here is a retraction.							
VS-032	MONDO:0021061	neurofibromatosis	ICD10CM:Q85.00	Neurofibromatosis, unspecified	1	Q85.00			bpow 2026-09-21: not ruled. 'Neurofibromatosis, unspecified' is left over by the split.							
VS-033	MONDO:0021061	neurofibromatosis	ICD10CM:Q85.09	Other neurofibromatosis	1	Q85.09			bpow 2026-09-21: not ruled. 'Other neurofibromatosis' is left over by the split.							
VS-034	MONDO:0018975	neurofibromatosis type 1	ICD10CM:Q85.01	Neurofibromatosis, type 1	1	Q85.01	skos:exactMatch	exact	bpow 2026-09-21: 'YES'. Already on the list; Mondo already asserts this exactMatch.							
VS-035	MONDO:0007039	NF2-related schwannomatosis	ICD10CM:Q85.02	Neurofibromatosis, type 2	1	Q85.02	skos:exactMatch	exact	bpow 2026-09-21: 'YES'. Already on the list; Mondo already asserts this exactMatch.							
VS-036	MONDO:0008075	schwannomatosis	ICD10CM:Q85.03	Schwannomatosis	1	Q85.03	skos:exactMatch	exact	bpow 2026-09-21: 'YES (probably)'. Written as Q83.03 in the comment; Q83 is breast anomalies, Q85.03 is Schwannomatosis. Mondo already asserts this exactMatch. 'We may find we need to disambiguate with a subsequent computational phenotype, possibly after records review, but it will be a good series to go ahead and collect so we can evaluate that.'							
